,peripheral@RGI,all@BedMachine,all@Bedmap3,all@Greene_2022,all@IMBIE_Rignot,all@NSIDC_0709,all@harper_2023,main@BedMachine,main@Bedmap3,main@Greene_2022,main@IMBIE_Rignot,main@NSIDC_0709,main@harper_2023,peripheral@BedMachine,peripheral@Bedmap3,peripheral@Greene_2022,peripheral@IMBIE_Rignot,peripheral@NSIDC_0709,peripheral@harper_2023,shelf@BedMachine,shelf@Bedmap3,shelf@NSIDC_0709
peripheral@RGI,0.0,8401.0,8865.0,5572.0,27103.0,24040.0,1195.0,128133.0,128732.0,25888.0,127963.0,127965.0,128317.0,14817.0,12813.0,109219.0,28675.0,28670.0,2413.0,124521.0,126391.0,126475.0
all@BedMachine,13401711.0,0.0,51477.0,12443.0,1516387.0,19486.0,1476584.0,1714925.0,1733587.0,31414.0,1698972.0,1699314.0,1681551.0,13325302.0,13322038.0,13503874.0,13340260.0,13340137.0,13317878.0,12005463.0,12041781.0,12025725.0
all@Bedmap3,13438768.0,88070.0,0.0,18953.0,1554612.0,62505.0,1514442.0,1776631.0,1745924.0,36990.0,1738051.0,1738741.0,1720216.0,13366456.0,13352054.0,13541401.0,13375999.0,13375958.0,13353664.0,12063859.0,12021145.0,12066682.0
all@Greene_2022,13520815.0,134376.0,104293.0,0.0,1567557.0,64330.0,1523721.0,1836875.0,1831992.0,22538.0,1754190.0,1754698.0,1735220.0,13448133.0,13439928.0,13622240.0,13458145.0,13458048.0,13433279.0,12138924.0,12122176.0,12141140.0
all@IMBIE_Rignot,11976824.0,72798.0,74430.0,2035.0,0.0,886.0,23074.0,275126.0,277607.0,3838.0,187135.0,189988.0,204299.0,11900480.0,11895167.0,12077453.0,11892121.0,11892884.0,11898031.0,12055704.0,12060258.0,12076526.0
all@NSIDC_0709,13500299.0,102435.0,108861.0,25346.0,1527424.0,0.0,1506151.0,1798071.0,1793464.0,27155.0,1714404.0,1714407.0,1697381.0,13425635.0,13417376.0,13603985.0,13418814.0,13418538.0,13414564.0,12090317.0,12109856.0,12078643.0
all@harper_2023,12004785.0,86864.0,88129.0,12068.0,76943.0,33482.0,0.0,340003.0,335686.0,34255.0,260404.0,260838.0,220837.0,11937903.0,11930952.0,12110938.0,11949664.0,11949706.0,11912288.0,12075208.0,12087798.0,12089188.0
main@BedMachine,11806518.0,0.0,25113.0,17.0,3790.0,197.0,14798.0,0.0,38326.0,17.0,3800.0,2743.0,15743.0,11807920.0,11806167.0,11807920.0,11807910.0,11807920.0,11806975.0,11807920.0,11796471.0,11805374.0
main@Bedmap3,11812711.0,24256.0,0.0,728.0,11865.0,1184.0,16075.0,43920.0,0.0,728.0,12023.0,12298.0,17002.0,11812410.0,11813514.0,11813514.0,11813356.0,11813372.0,11812587.0,11794954.0,11813514.0,11802542.0
main@Greene_2022,13518593.0,130809.0,99792.0,0.0,1546822.0,43601.0,1523370.0,1814337.0,1809454.0,0.0,1731654.0,1732164.0,1712717.0,13443799.0,13435419.0,13622240.0,13437408.0,13437314.0,13432893.0,12117153.0,12099646.0,12118603.0
main@IMBIE_Rignot,11890549.0,68248.0,70734.0,1533.0,0.0,731.0,19400.0,88001.0,90630.0,1535.0,0.0,2868.0,20540.0,11889178.0,11888270.0,11892119.0,11892121.0,11892120.0,11890981.0,11875311.0,11876097.0,11889985.0
main@NSIDC_0709,11889817.0,67856.0,70690.0,1307.0,2119.0,0.0,19100.0,86210.0,90171.0,1311.0,2134.0,0.0,20240.0,11888392.0,11887564.0,11891383.0,11891372.0,11891387.0,11890247.0,11876028.0,11875744.0,11891387.0
main@harper_2023,11911070.0,70994.0,73066.0,2730.0,37331.0,3875.0,0.0,120111.0,115776.0,2765.0,40707.0,41141.0,0.0,11906242.0,11905562.0,11912253.0,11908912.0,11908943.0,11912288.0,11869217.0,11876356.0,11878367.0
peripheral@BedMachine,82825.0,0.0,4561.0,898.0,18767.0,17384.0,2321.0,197543.0,196439.0,19102.0,194600.0,194548.0,191497.0,0.0,7884.0,179339.0,21710.0,21317.0,8367.0,197543.0,195354.0,196605.0
peripheral@Bedmap3,90662.0,6577.0,0.0,2534.0,23295.0,18966.0,5211.0,205631.0,207384.0,20563.0,203533.0,203561.0,200658.0,17725.0,0.0,189355.0,27146.0,27354.0,11937.0,197989.0,207384.0,202819.0
peripheral@Greene_2022,2222.0,3567.0,4501.0,0.0,20735.0,20729.0,351.0,22538.0,22538.0,22538.0,22536.0,22534.0,22503.0,4334.0,4509.0,0.0,20737.0,20734.0,386.0,21771.0,22530.0,22537.0
peripheral@IMBIE_Rignot,86275.0,4550.0,3696.0,502.0,0.0,155.0,3674.0,187125.0,186977.0,2303.0,187135.0,187120.0,183759.0,11302.0,6897.0,185334.0,0.0,764.0,7050.0,180393.0,184161.0,186541.0
peripheral@NSIDC_0709,86391.0,4548.0,3776.0,526.0,884.0,0.0,3837.0,187256.0,187114.0,2330.0,187255.0,187256.0,183911.0,11030.0,7226.0,185452.0,885.0,0.0,7182.0,180774.0,184016.0,187256.0
peripheral@harper_2023,93715.0,15870.0,15063.0,9338.0,39612.0,29607.0,0.0,219892.0,219910.0,31490.0,219697.0,219697.0,220837.0,31661.0,25390.0,198685.0,40752.0,40763.0,0.0,205991.0,211442.0,210821.0
shelf@BedMachine,1512368.0,0.0,21803.0,11528.0,1493830.0,1905.0,1459465.0,1517382.0,1498822.0,12295.0,1500572.0,1502023.0,1474311.0,1517382.0,1507987.0,1516615.0,1510640.0,1510900.0,1502536.0,0.0,49956.0,23746.0
shelf@Bedmap3,1535149.0,57229.0,0.0,15691.0,1519295.0,42355.0,1492966.0,1526844.0,1538293.0,15699.0,1522269.0,1522650.0,1502361.0,1536104.0,1538293.0,1538285.0,1535319.0,1535053.0,1528898.0,70867.0,0.0,61238.0
shelf@NSIDC_0709,1524091.0,30031.0,34395.0,23513.0,1524421.0,0.0,1483214.0,1524605.0,1516179.0,23514.0,1525015.0,1527151.0,1493230.0,1526213.0,1522586.0,1527150.0,1526557.0,1527151.0,1517135.0,33515.0,50096.0,0.0
