,RGI@RGI,GIC0@citterio_2013,GIC1@citterio_2013,GIC2@citterio_2013,all@BedMachine,all@GIMP,all@MAR,all@RACMO,all@citterio_2013,all@harper_2023,attached@RACMO,main@BedMachine,main@GIMP,main@MAR,main@RACMO,main@harper_2023,peripheral@BedMachine,peripheral@GIMP,peripheral@MAR,peripheral@RACMO,peripheral@harper_2023,shelf@BedMachine
RGI@RGI,0.0,85819.0,28941.0,70351.0,10763.0,10374.0,15870.0,22235.0,7531.0,8154.0,72179.0,68417.0,65919.0,69035.0,86190.0,71226.0,31138.0,33245.0,35625.0,41446.0,25718.0,88788.0
GIC0@citterio_2013,1694572.0,0.0,1697543.0,1697543.0,9027.0,10805.0,9976.0,15933.0,0.0,41752.0,1697403.0,13210.0,11122.0,10357.0,16219.0,43318.0,1697155.0,1697226.0,1697162.0,1697397.0,1695977.0,1693748.0
GIC1@citterio_2013,5313.0,65162.0,0.0,65162.0,9376.0,8982.0,13417.0,18226.0,0.0,7325.0,65012.0,63517.0,62403.0,63318.0,64907.0,63859.0,11021.0,11741.0,15261.0,18631.0,8628.0,65162.0
GIC2@citterio_2013,2569.0,21008.0,21008.0,0.0,1517.0,1492.0,2117.0,3140.0,0.0,4314.0,3323.0,3453.0,2232.0,4186.0,20862.0,6436.0,19072.0,20268.0,18939.0,20971.0,18886.0,21008.0
all@BedMachine,1699243.0,88754.0,1721484.0,1757779.0,0.0,15201.0,17455.0,31130.0,13477.0,50652.0,1759387.0,66079.0,68550.0,70807.0,95684.0,108547.0,1715242.0,1723921.0,1723918.0,1730599.0,1719375.0,1773219.0
all@GIMP,1698023.0,89701.0,1720259.0,1756923.0,14370.0,0.0,22076.0,34012.0,14005.0,51404.0,1758806.0,72950.0,61593.0,73505.0,97328.0,109219.0,1720765.0,1714846.0,1725010.0,1730756.0,1718624.0,1773533.0
all@MAR,1709785.0,95138.0,1730960.0,1763814.0,22890.0,28342.0,0.0,33767.0,24502.0,59883.0,1764718.0,80287.0,77692.0,61120.0,98003.0,114084.0,1729325.0,1733355.0,1721585.0,1736456.0,1728504.0,1778688.0
all@RACMO,1716150.0,101095.0,1735769.0,1764837.0,36565.0,40278.0,33767.0,0.0,36291.0,69869.0,1761475.0,88006.0,84825.0,80277.0,81869.0,119512.0,1735205.0,1738158.0,1736195.0,1722066.0,1733062.0,1778764.0
all@citterio_2013,7882.0,86170.0,21008.0,65162.0,10893.0,10474.0,15534.0,21366.0,0.0,11639.0,68335.0,66970.0,64635.0,67504.0,85769.0,70295.0,30093.0,32009.0,34200.0,39602.0,27514.0,86170.0
all@harper_2023,1664383.0,89228.0,1687182.0,1728325.0,18401.0,19984.0,22197.0,32183.0,14697.0,0.0,1729637.0,78623.0,73905.0,74635.0,94723.0,67676.0,1688696.0,1691098.0,1692581.0,1697861.0,1677343.0,1741120.0
attached@RACMO,4619.0,21090.0,21080.0,3545.0,3347.0,3597.0,3243.0,0.0,3255.0,5848.0,0.0,5121.0,4300.0,5112.0,21230.0,7878.0,19473.0,20527.0,19361.0,21230.0,19200.0,21213.0
main@BedMachine,1690818.0,26858.0,1709546.0,1693636.0,0.0,7702.0,8773.0,16492.0,7658.0,44795.0,1695082.0,0.0,8840.0,10932.0,33875.0,48728.0,1711191.0,1710053.0,1709032.0,1709917.0,1707258.0,1711191.0
main@GIMP,1691975.0,28425.0,1712087.0,1696070.0,6126.0,0.0,9833.0,16966.0,6890.0,43732.0,1697916.0,12495.0,0.0,13624.0,36044.0,48572.0,1711383.0,1714846.0,1711055.0,1712698.0,1710006.0,1711940.0
main@MAR,1701830.0,34399.0,1719741.0,1704763.0,15122.0,18651.0,0.0,19157.0,15733.0,51201.0,1705467.0,21326.0,20363.0,0.0,37088.0,55317.0,1719398.0,1719873.0,1721585.0,1719772.0,1717469.0,1717568.0
main@RACMO,1698236.0,19512.0,1700581.0,1700690.0,19250.0,21725.0,16134.0,0.0,19111.0,50540.0,1700836.0,23520.0,22034.0,16339.0,0.0,51949.0,1700483.0,1700527.0,1700631.0,1700836.0,1699427.0,1696919.0
main@harper_2023,1659779.0,23118.0,1676040.0,1662771.0,8620.0,10123.0,8722.0,14150.0,7243.0,0.0,1663991.0,14880.0,11069.0,11075.0,28456.0,0.0,1674982.0,1676397.0,1674990.0,1676389.0,1677343.0,1673444.0
peripheral@BedMachine,4376.0,61640.0,7887.0,60092.0,0.0,6354.0,8648.0,14528.0,5563.0,5705.0,60271.0,62028.0,58565.0,59841.0,61675.0,59667.0,0.0,9817.0,10835.0,16638.0,8066.0,62028.0
peripheral@GIMP,6048.0,61276.0,8172.0,60853.0,8244.0,0.0,12243.0,17046.0,7115.0,7672.0,60890.0,60455.0,61593.0,59881.0,61284.0,60647.0,9382.0,0.0,13955.0,18058.0,8618.0,61593.0
peripheral@MAR,7955.0,60739.0,11219.0,59051.0,7768.0,9691.0,0.0,14610.0,8769.0,8682.0,59251.0,58961.0,57329.0,61120.0,60915.0,58767.0,9927.0,13482.0,0.0,16684.0,11035.0,61120.0
peripheral@RACMO,13295.0,60493.0,14108.0,60602.0,13968.0,14956.0,14390.0,0.0,13925.0,13481.0,60639.0,59365.0,58491.0,58826.0,60639.0,59685.0,15249.0,17104.0,16203.0,0.0,14435.0,60632.0
peripheral@harper_2023,4604.0,66110.0,11142.0,65554.0,9781.0,9861.0,13475.0,18033.0,7454.0,0.0,65646.0,63743.0,62836.0,63560.0,66267.0,67676.0,13714.0,14701.0,17591.0,21472.0,0.0,67676.0
shelf@BedMachine,4049.0,256.0,4051.0,4051.0,0.0,1145.0,34.0,110.0,256.0,152.0,4034.0,4051.0,1145.0,34.0,134.0,152.0,4051.0,4051.0,4051.0,4044.0,4051.0,0.0
